area_sqft,num_floors,project_type,location_zone,foundation_type,wall_material,roof_type,has_basement,has_parking,quality_grade,soil_type,distance_to_city_center,total_cost
45424.5404593416,14,infrastructure,rural,basement,brick,flat,0,0,standard,rocky,42.09527716808168,8002452.308067046
12839.96534286931,10,commercial,suburban,crawl_space,brick,mansard,0,0,luxury,rocky,36.820086905474525,5549747.122304448
20813.954690263672,10,infrastructure,suburban,basement,glass,gable,0,1,standard,rocky,28.413236293965262,4954884.694166023
37899.78135788091,11,industrial,urban,pile,concrete,flat,0,0,standard,rocky,28.679782728372416,10078636.867137164
11825.509191835312,2,residential,urban,crawl_space,brick,gable,1,0,economy,sandy,80.0628552018914,1556289.5156369887
4310.505536525253,8,industrial,suburban,pile,steel,gable,1,1,luxury,rocky,25.637947836913032,2082852.777409697
14842.696919231517,7,industrial,suburban,basement,glass,mansard,1,1,standard,loamy,22.216205743851713,3101570.845018992
8480.453719073219,8,industrial,rural,basement,steel,mansard,0,0,standard,loamy,69.80196278388539,1276655.1361275963
46520.033790957365,1,commercial,suburban,crawl_space,concrete,hip,1,1,luxury,loamy,28.74630660406793,15474151.62503229
40501.95878843864,2,industrial,urban,crawl_space,wood,gable,0,1,luxury,clay,1.3130937653075825,15298836.435794385
31853.485947265963,18,infrastructure,urban,crawl_space,concrete,hip,1,1,premium,rocky,93.1766387076656,17393567.201637227
43637.29921429203,15,infrastructure,urban,crawl_space,glass,mansard,0,0,premium,loamy,31.356388698349825,23628523.309455168
40281.76780650616,1,residential,urban,slab,concrete,gable,0,1,economy,rocky,76.43774518680986,4635128.483023168
9735.217914858775,5,infrastructure,urban,slab,concrete,flat,1,0,standard,sandy,46.89873273214826,2129033.8320731074
44681.6704252539,2,industrial,urban,pile,glass,hip,0,0,luxury,loamy,13.407981855645923,25800688.62173329
27197.44097482471,3,industrial,suburban,basement,glass,mansard,1,0,standard,clay,66.19282384736044,4842568.457003722
40468.2876806211,19,infrastructure,urban,basement,steel,gable,0,0,premium,clay,23.15598269633442,24583478.702491816
44856.51934621292,18,residential,urban,pile,brick,mansard,0,1,premium,sandy,28.79178749350316,22431873.888623737
16241.172011107263,18,residential,urban,pile,wood,hip,1,1,premium,loamy,3.240636406262787,7184040.672777221
5947.57026412,14,infrastructure,urban,pile,wood,mansard,0,0,luxury,sandy,1.6403350113706971,3719301.6136902776
11782.790545826114,8,commercial,suburban,slab,wood,mansard,1,0,standard,clay,51.36194572143569,2168036.119881979
21641.835536999686,12,commercial,rural,pile,concrete,flat,0,0,luxury,clay,5.779490888246929,9134792.689999403
40991.73091316341,10,commercial,rural,basement,glass,mansard,0,0,standard,rocky,20.94175720042579,7387361.209193953
43106.163871189,17,commercial,rural,pile,glass,gable,0,0,economy,sandy,92.38071517671007,6260971.909336458
844.1304612939398,11,infrastructure,rural,crawl_space,glass,gable,0,0,premium,clay,8.285545860148547,266533.9434410904
25781.991477589505,2,residential,urban,basement,brick,flat,1,0,premium,loamy,29.07894986216991,7998051.39973671
21161.84465586456,4,industrial,rural,basement,glass,gable,0,0,premium,loamy,72.65281621381693,4917978.563602413
11494.336618301148,1,industrial,rural,basement,glass,mansard,0,1,premium,clay,88.43250874634897,2166833.960940165
6433.335683017299,15,infrastructure,suburban,slab,concrete,mansard,1,0,luxury,sandy,4.621114951762606,3934231.147288111
17211.950984479583,13,industrial,suburban,slab,steel,gable,0,0,premium,sandy,18.543951940933955,6833583.971856814
47174.0303436697,8,commercial,suburban,basement,wood,hip,1,0,standard,loamy,38.78834401380908,8116607.971303346
16498.545135027383,4,residential,urban,crawl_space,concrete,mansard,1,0,standard,clay,36.099423520309095,3539973.6081435974
26180.13577629662,10,infrastructure,urban,basement,concrete,gable,0,1,premium,loamy,28.85257348054391,10456742.248367194
35299.4384653113,19,residential,urban,slab,concrete,mansard,0,1,premium,sandy,24.230759032121085,17334497.589480985
18499.665317775052,18,infrastructure,suburban,crawl_space,wood,mansard,0,1,luxury,clay,26.865883477204466,10606990.126607904
48603.213094687555,5,infrastructure,rural,basement,concrete,flat,1,1,luxury,loamy,13.34255772121783,17304479.363894694
48141.14109963451,19,infrastructure,suburban,slab,steel,gable,0,0,standard,clay,16.332662253714116,12824682.05086341
12963.223643355526,16,infrastructure,urban,crawl_space,glass,mansard,1,0,standard,rocky,60.67668998189265,5328915.043399389
25113.80104167308,1,residential,suburban,pile,steel,hip,0,1,economy,loamy,29.219112176064776,2480761.395411076
15393.476335930098,12,industrial,rural,pile,glass,gable,1,1,standard,loamy,39.96852703761882,3238651.0428956416
14599.604471684646,2,infrastructure,urban,basement,glass,hip,1,1,economy,rocky,41.196639070631555,2257836.1487365174
2325.9038940493733,8,commercial,rural,pile,concrete,gable,1,0,premium,sandy,10.973749671102151,525319.3909686226
30673.434532004892,18,infrastructure,rural,slab,concrete,hip,0,0,premium,loamy,81.94937898564864,8883759.255655652
25382.611649828643,16,residential,urban,crawl_space,wood,hip,0,0,premium,loamy,95.63596676725338,10378031.263433835
3048.198186874473,5,infrastructure,rural,basement,brick,gable,0,0,standard,sandy,26.354185729231038,348114.5839315477
14292.999979712265,13,commercial,suburban,crawl_space,steel,flat,0,1,standard,clay,29.44101857151117,3630437.8372312663
45459.16135534936,19,residential,rural,crawl_space,wood,flat,0,0,premium,rocky,69.31538132182149,13274732.39133714
12358.313588015135,3,infrastructure,rural,crawl_space,wood,gable,1,0,luxury,sandy,8.058838123541612,3086294.1340207704
7672.296168515543,8,commercial,rural,slab,steel,mansard,1,1,premium,clay,90.73229357718738,1868800.0438517067
24727.911633739368,12,residential,suburban,basement,steel,gable,0,0,economy,rocky,12.058930723159234,3366722.0681733177
49289.697478474736,2,infrastructure,rural,pile,glass,gable,1,0,luxury,clay,73.20624709104311,18475207.124495603
12481.735939819271,11,commercial,rural,crawl_space,brick,mansard,0,0,luxury,loamy,29.15150759261739,4993206.709951191
33770.70959659099,12,residential,suburban,crawl_space,concrete,gable,0,0,standard,rocky,32.326471828028325,7340163.351095566
38200.17095877152,18,infrastructure,urban,crawl_space,brick,gable,1,0,standard,clay,14.084464528771058,13066759.08668435
12263.058427623784,13,residential,urban,slab,brick,mansard,1,1,economy,rocky,64.6337828992956,2116673.476390824
36546.709256287046,5,commercial,urban,pile,concrete,mansard,0,1,premium,clay,79.4994361203098,11502666.752412297
18705.265069603036,12,infrastructure,rural,crawl_space,brick,flat,1,1,premium,clay,95.02415754720828,4769136.576639161
31799.138614382184,2,infrastructure,urban,slab,wood,hip,1,1,standard,loamy,33.15494346315487,5654318.238817144
31859.720682664287,5,infrastructure,suburban,slab,wood,hip,0,1,standard,sandy,62.11809101838269,4550126.581493552
27020.846861700546,7,commercial,rural,crawl_space,concrete,flat,0,0,premium,rocky,41.499294828135326,5618302.673914708
4969.343617693211,12,industrial,rural,crawl_space,concrete,flat,1,1,luxury,loamy,55.784367274078626,2124087.165197457
41847.47353166728,16,infrastructure,rural,slab,steel,hip,1,0,economy,rocky,16.29317292271002,6197265.203429511
16378.613216100925,8,commercial,urban,slab,steel,flat,0,0,economy,sandy,58.175289104714565,2552656.638265321
9732.666264792784,9,residential,urban,crawl_space,brick,gable,0,0,economy,loamy,84.90822692298468,1304995.0053893465
2518.369506960814,15,residential,urban,slab,brick,flat,0,0,standard,sandy,86.36531542195243,672059.3462036133
29749.20068781797,5,commercial,rural,slab,concrete,flat,1,1,luxury,loamy,48.33893276056237,9505663.787159055
34039.43591119298,13,industrial,suburban,crawl_space,brick,flat,0,0,economy,loamy,23.57464654464556,4444214.297359125
1321.0975319288796,5,commercial,rural,crawl_space,glass,flat,0,0,luxury,loamy,83.66789740746627,456702.9118917564
25848.606385814408,11,residential,suburban,basement,wood,hip,1,1,standard,loamy,99.94285168324659,5218810.095579423
11711.540872297928,10,residential,rural,pile,brick,mansard,0,0,standard,clay,37.71596419252905,1641616.5342958851
32436.05312526777,13,infrastructure,suburban,crawl_space,brick,hip,1,1,premium,rocky,92.43687051654021,11029711.96789842
9131.138235747076,9,industrial,rural,crawl_space,steel,hip,1,1,luxury,clay,98.34601241333993,4160320.511034044
34701.418036072064,14,commercial,rural,crawl_space,glass,mansard,1,0,luxury,clay,39.56132858021053,17516278.425388113
19643.3996418766,18,residential,suburban,pile,brick,hip,1,0,luxury,clay,71.62844169503472,11686477.17608818
46868.134442468356,15,residential,suburban,basement,wood,gable,1,0,premium,loamy,58.109250317906856,14619209.40553904
7307.286735226666,10,residential,suburban,slab,brick,mansard,0,0,economy,loamy,72.21936886967121,812432.5129889104
17382.784376987795,7,commercial,suburban,pile,concrete,gable,1,0,economy,sandy,15.4152734591951,2190459.941239048
6116.939301409159,8,commercial,suburban,crawl_space,glass,hip,0,0,standard,rocky,36.67198396571513,1283770.782831173
46272.33410478886,3,industrial,suburban,crawl_space,brick,hip,0,1,premium,sandy,6.279804075313356,9419955.162975991
43928.29799235856,15,infrastructure,suburban,basement,glass,mansard,0,0,luxury,sandy,61.32161367471246,32067467.958041687
13268.110571900203,16,infrastructure,suburban,basement,brick,hip,0,0,premium,rocky,92.66964289027229,4809411.13222946
33169.21027869186,4,infrastructure,rural,basement,wood,flat,0,0,standard,rocky,56.028324563242535,3351347.705462191
40952.49890996018,6,residential,suburban,slab,wood,gable,0,1,economy,sandy,7.0331620530288745,3669797.5428244164
27982.440174173385,1,infrastructure,suburban,pile,glass,gable,0,0,economy,sandy,93.0377399899152,2585160.530595765
26717.70362862232,4,residential,rural,pile,steel,flat,1,0,standard,sandy,13.296491064646343,3765183.2627903
12471.688399572358,11,industrial,rural,basement,steel,mansard,0,0,premium,loamy,88.2941429039696,3176597.8305532997
5108.587006392011,12,residential,urban,slab,concrete,mansard,0,0,standard,rocky,71.42272457515233,1447738.0466310934
44912.18001868967,5,industrial,urban,pile,steel,flat,0,0,luxury,rocky,63.63677552717731,25543363.38390787
45070.69382958486,16,industrial,suburban,crawl_space,glass,flat,0,1,luxury,clay,58.68475976249672,33288250.51076623
31838.522135026764,13,infrastructure,suburban,crawl_space,steel,gable,1,1,standard,loamy,13.114921484146013,7850203.05575848
17281.974656910683,13,infrastructure,urban,crawl_space,concrete,flat,0,1,luxury,loamy,50.08437523747157,12612151.850025952
17785.873943326715,17,residential,urban,pile,brick,flat,0,1,luxury,rocky,19.66930383540626,12426208.814168174
36434.80610407685,7,commercial,suburban,basement,steel,flat,1,1,economy,loamy,57.17838720973092,5010715.388132243
44906.95786765256,8,infrastructure,urban,crawl_space,glass,hip,0,1,premium,sandy,44.734374440572054,19266464.72521735
44410.778001123304,13,infrastructure,suburban,basement,glass,flat,1,0,economy,rocky,67.96755617894944,7481135.301613926
39103.83951995238,16,commercial,rural,slab,concrete,hip,0,1,economy,rocky,98.24970298622098,4822426.186460175
32280.566484637246,4,commercial,rural,crawl_space,concrete,gable,0,0,premium,loamy,36.10154036157221,5782785.186641436
4664.928267254917,8,infrastructure,urban,slab,wood,gable,0,0,economy,rocky,61.6713496339963,618635.8776698841
8500.621347683382,16,commercial,rural,basement,wood,mansard,0,0,luxury,loamy,86.44069265335955,3565963.468696637
44978.43233209042,10,residential,rural,pile,wood,gable,0,1,standard,loamy,9.292663355091069,5973351.327611699
30518.2384531497,12,industrial,rural,basement,brick,mansard,0,0,standard,loamy,80.02460612674463,5289018.089893652
955.2540550231676,12,industrial,rural,crawl_space,glass,hip,1,1,premium,sandy,23.94249707303032,302547.4738649374
5522.841371868589,5,infrastructure,suburban,crawl_space,wood,flat,1,1,standard,loamy,54.02760185908376,846024.877845144
33343.337570848766,16,infrastructure,suburban,basement,glass,gable,0,0,standard,loamy,99.15014385349839,10044869.60314877
750.548400387825,1,residential,urban,crawl_space,concrete,flat,0,0,standard,clay,98.40520787682601,122526.08857231887
8459.998545166183,9,commercial,rural,crawl_space,brick,mansard,1,0,standard,clay,31.57976394815949,1295909.6797580235
27662.32257364601,12,infrastructure,rural,slab,concrete,hip,0,0,economy,sandy,13.176295616396661,2990647.2711872016
34748.81228578831,5,industrial,rural,pile,glass,gable,0,1,luxury,sandy,93.81850367628944,12922228.98181953
32772.08234537873,3,residential,urban,basement,wood,flat,0,1,luxury,loamy,89.35294349989267,14066180.362007685
11601.330818297709,5,residential,suburban,slab,concrete,mansard,1,0,standard,clay,61.60318962374175,1938371.1756844348
35752.871456703026,2,commercial,rural,crawl_space,steel,flat,0,1,premium,sandy,3.241038883752334,6737445.191811535
12243.829831091603,14,infrastructure,suburban,slab,brick,gable,1,1,economy,rocky,75.12803240918929,1674633.6777885363
16607.285058883754,2,infrastructure,urban,pile,glass,flat,0,0,standard,rocky,16.08552132414014,3675714.588995206
37451.324553342194,13,residential,suburban,basement,wood,hip,0,1,standard,loamy,94.30212717005068,7229837.997989926
32656.828502837125,7,industrial,rural,pile,concrete,gable,0,0,premium,clay,43.51260697970801,6985199.348224881
42536.55881946181,10,infrastructure,suburban,pile,brick,mansard,0,1,economy,rocky,61.511560817335074,5024499.511553371
33051.838168867,13,industrial,suburban,slab,wood,gable,0,0,standard,clay,28.107993860567593,6250014.095182577
28631.275865105847,16,residential,urban,slab,concrete,mansard,1,1,premium,sandy,47.50758824106421,13646822.369465593
5136.901007490577,14,infrastructure,urban,pile,glass,mansard,0,0,economy,clay,75.46355032196034,1084473.49963748
18701.93225144196,11,industrial,urban,crawl_space,steel,gable,1,1,economy,loamy,49.20165624712032,3386962.6394372834
13627.51720024541,10,residential,urban,basement,steel,mansard,0,0,standard,clay,84.71973294689379,3798869.843661031
12577.487347264638,6,industrial,suburban,crawl_space,glass,gable,0,0,premium,rocky,71.30274359995731,3890006.0905074095
48664.02246024606,4,infrastructure,suburban,crawl_space,brick,hip,0,0,premium,clay,7.735957230454627,10347305.696691038
19958.33737100464,1,commercial,urban,basement,glass,hip,0,1,standard,clay,60.683540429541125,4225420.53754751
44656.30448126711,7,industrial,urban,slab,concrete,flat,0,1,standard,clay,61.259943266031435,10693055.741206612
31741.361986864515,9,commercial,rural,crawl_space,brick,hip,1,1,standard,sandy,38.0898352391083,5063066.921392959
39843.159525311596,8,infrastructure,rural,slab,steel,mansard,0,1,premium,loamy,32.272392754167136,10133951.201034084
25380.53610870701,5,commercial,urban,basement,concrete,flat,0,1,economy,rocky,6.288759401030508,3353915.868395916
29056.742289004775,19,residential,suburban,crawl_space,wood,flat,0,0,standard,rocky,44.6156478438557,6744713.002943982
24879.625844033762,10,commercial,urban,slab,wood,gable,1,0,luxury,clay,33.6596457851461,13905200.062950477
10164.527896003203,11,industrial,suburban,slab,wood,flat,1,1,luxury,clay,95.10628096842508,4414297.188164167
36261.37970544452,15,industrial,suburban,crawl_space,steel,gable,0,1,standard,sandy,67.41743818453513,9697279.290191576
14398.231940822361,6,commercial,rural,basement,glass,flat,0,0,luxury,loamy,46.00614105676832,5352296.916277991
1703.640338356965,15,residential,urban,pile,brick,hip,1,1,economy,rocky,75.46119806218852,312762.64129403245
32450.878647404807,5,infrastructure,urban,slab,steel,gable,1,1,economy,loamy,77.87696375915263,5215782.560328328
9266.978630648922,19,commercial,suburban,basement,concrete,mansard,0,1,luxury,rocky,48.045589157448646,6255568.925243308
47052.69992546926,19,industrial,urban,crawl_space,concrete,flat,0,1,premium,clay,7.5757802073757485,22745217.401342552
47719.464561628076,10,industrial,rural,slab,wood,hip,1,0,standard,sandy,78.0551132248479,6712827.723042806
45785.7873159122,12,commercial,rural,slab,brick,hip,0,1,premium,sandy,9.028404278784341,10969356.073711421
18822.8556626445,4,commercial,urban,slab,wood,gable,0,0,economy,clay,84.75068265050881,1959177.7234597015
1265.1025181789378,18,commercial,urban,basement,concrete,gable,0,0,luxury,clay,33.415689260861626,1071445.644810853
46451.768848092404,16,infrastructure,rural,slab,concrete,gable,0,0,standard,clay,63.82409644283808,9515015.456867764
21695.11534170706,8,industrial,urban,slab,glass,mansard,1,1,luxury,loamy,74.04044529120519,14351254.555777052
48349.41354266164,4,industrial,suburban,crawl_space,glass,mansard,0,1,luxury,clay,3.519246532600062,20526537.005160082
48199.18886591802,12,industrial,urban,slab,glass,mansard,1,1,premium,loamy,38.46143058451984,26467324.019003518
42723.96804563433,2,infrastructure,suburban,basement,wood,flat,0,1,premium,clay,60.41430079993941,7603978.974294432
